date,open,high,low,close,adjClose,volume
2020-08-06,30.04,30.11,29.08,29.5,25.85,15355605
2020-08-07,29.0,29.35,28.44,28.87,25.3,14680463
2020-08-10,29.33,29.93,28.63,28.72,25.17,15880403
2020-08-11,27.1,27.57,25.87,26.25,23.0,36281611
2020-08-12,26.97,27.05,26.06,26.18,22.94,21894052
2020-08-13,26.61,27.44,26.5,27.14,23.78,15115069
2020-08-14,27.13,27.24,26.55,26.99,23.65,12635471
2020-08-17,29.62,30.27,29.3,30.13,26.4,53950489
2020-08-18,31.2,31.22,29.74,30.04,26.33,39322062
2020-08-19,30.05,30.32,28.8,28.98,25.4,31732561
2020-08-20,29.07,29.99,28.91,29.95,26.25,22129818
2020-08-21,29.71,29.78,28.94,29.31,25.69,16352215
2020-08-24,29.78,29.82,28.93,28.97,25.39,16811994
2020-08-25,28.84,28.94,28.12,28.75,25.19,17442932
2020-08-26,28.44,29.39,28.39,29.37,25.74,17248140
2020-08-27,29.86,29.9,28.31,28.58,25.05,23211038
2020-08-28,29.21,29.55,29.05,29.2,25.66,19533837
2020-08-31,29.48,29.98,29.28,29.65,26.06,14248135
2020-09-01,30.27,30.33,28.98,29.33,25.78,17080762
2020-09-02,29.17,29.65,28.6,29.61,26.02,16837222
2020-09-03,29.33,29.69,28.59,29.26,25.71,17762291
2020-09-04,28.98,29.3,28.08,29.05,25.53,21446420
2020-09-08,28.53,29.84,28.25,29.2,25.66,17738408
2020-09-09,29.51,30.6,29.45,30.46,26.77,20488817
2020-09-10,30.78,30.87,29.97,30.11,26.46,16170324
2020-09-11,30.3,30.58,29.61,29.75,26.14,12573917
2020-09-14,30.03,30.3,29.42,29.93,26.3,15620160
2020-09-15,30.26,30.54,29.86,29.99,26.36,12552459
2020-09-16,30.25,30.36,29.59,29.99,26.36,20847725
2020-09-17,29.53,29.53,28.81,29.14,25.61,26331785
2020-09-18,29.3,29.56,28.86,28.89,25.39,26962193
2020-09-21,28.4,28.69,27.81,28.19,24.77,17428176
2020-09-22,28.29,28.64,28.12,28.42,24.98,14621842
2020-09-23,28.09,28.13,26.98,27.14,23.85,24139883
2020-09-24,26.87,27.77,26.83,27.65,24.3,20435406
2020-09-25,27.55,27.85,27.26,27.7,24.34,9425003
2020-09-28,28.0,28.04,27.45,27.76,24.4,12539465
2020-09-29,27.97,28.48,27.87,28.28,24.85,12466509
2020-09-30,28.12,28.39,27.8,28.11,24.7,14891868
2020-10-01,28.39,28.55,28.07,28.26,24.84,10354335
2020-10-02,28.19,28.39,27.82,27.89,24.51,9876506
2020-10-05,28.01,28.74,27.97,28.37,24.93,10678086
2020-10-06,28.41,28.54,27.04,27.06,23.78,18522995
2020-10-07,27.39,27.53,26.88,26.95,23.68,18348750
2020-10-08,27.12,27.52,26.9,27.27,23.97,13403529
2020-10-09,27.77,28.05,27.52,28.05,24.65,14495604
2020-10-12,27.95,28.19,27.8,28.04,24.64,9850833
2020-10-13,27.8,28.06,27.18,27.96,24.57,12480095
2020-10-14,28.2,28.59,27.95,28.31,24.88,10603437
2020-10-15,27.97,28.08,27.56,27.75,24.39,10768733
2020-10-16,27.86,27.89,27.5,27.57,24.23,8991481
2020-10-19,27.82,27.97,27.0,27.02,23.75,12823157
2020-10-20,27.12,27.28,26.84,27.07,23.79,14482531
2020-10-21,27.28,27.53,27.1,27.37,24.05,11122933
2020-10-22,27.06,27.1,26.55,26.89,23.63,13605129
2020-10-23,26.78,26.94,26.61,26.81,23.56,9636139
2020-10-26,26.59,27.18,26.58,26.63,23.4,10261940
2020-10-27,26.66,27.12,26.52,27.09,23.81,10690917
2020-10-28,26.45,26.56,25.71,25.92,22.78,22178939
2020-10-29,25.65,26.57,25.56,26.17,23.0,15397068
2020-10-30,26.41,26.77,25.75,26.73,23.49,14855945
2020-11-02,27.0,27.2,26.52,27.16,23.87,15083230
2020-11-03,27.5,27.88,27.25,27.78,24.41,14104873
2020-11-04,27.74,28.1,27.35,27.42,24.1,14795667
2020-11-05,28.41,29.55,28.38,29.32,25.77,28536569
2020-11-06,29.56,29.6,28.75,28.87,25.37,13537512
2020-11-09,27.22,27.44,26.09,26.9,23.64,47566213
2020-11-10,26.9,27.01,25.9,25.94,22.8,23180643
2020-11-11,25.82,25.84,25.34,25.79,22.66,21293505
2020-11-12,26.02,26.24,25.83,25.91,22.77,12858341
2020-11-13,26.3,26.34,25.87,25.89,22.75,11774346
2020-11-16,25.8,26.03,25.47,25.86,22.73,17386231
2020-11-17,25.8,25.9,25.33,25.37,22.3,18757971
2020-11-18,25.24,25.28,24.42,24.46,21.5,28709809
2020-11-19,24.17,24.44,24.01,24.18,21.25,18249241
2020-11-20,24.32,24.64,24.17,24.28,21.34,16705598
2020-11-23,24.16,24.16,23.14,23.24,20.42,36596260
2020-11-24,22.59,23.25,22.53,22.79,20.03,43635621
2020-11-25,23.13,23.21,22.66,22.83,20.06,36957084
2020-11-27,22.51,22.72,22.22,22.69,20.02,16850096
2020-11-30,22.49,23.21,22.36,23.14,20.42,24409213
2020-12-01,23.86,24.0,23.45,23.83,21.02,26522802
2020-12-02,23.97,24.1,23.61,23.96,21.14,17684855
2020-12-03,24.18,24.21,23.43,23.61,20.83,18347735
2020-12-04,23.75,23.8,23.24,23.5,20.73,17089858
2020-12-07,23.5,24.2,23.46,23.95,21.13,18854821
2020-12-08,24.1,24.11,23.75,23.9,21.09,13709078
2020-12-09,23.75,23.81,23.18,23.36,20.61,20562611
2020-12-10,23.5,23.57,22.98,23.09,20.37,18028677
2020-12-11,23.08,23.31,22.84,22.9,20.2,13964426
2020-12-14,22.9,23.07,22.4,22.44,19.8,14728647
2020-12-15,22.84,23.17,22.71,22.87,20.18,16057899
2020-12-16,23.01,23.14,22.66,23.07,20.35,17231350
2020-12-17,23.64,24.04,23.41,23.59,20.81,20273863
2020-12-18,23.69,23.69,23.26,23.27,20.53,14803028
2020-12-21,23.25,23.41,22.95,23.02,20.31,20688188
2020-12-22,23.0,23.05,22.26,22.52,19.87,19847899
2020-12-23,22.62,23.03,22.56,22.83,20.14,11737792
2020-12-24,22.8,23.04,22.73,22.9,20.2,4920055
2020-12-28,23.52,23.54,22.8,22.84,20.15,15946697
2020-12-29,22.96,23.28,22.75,22.91,20.21,14663884
2020-12-30,22.97,23.28,22.85,23.24,20.5,16046467
2020-12-31,23.25,23.27,22.7,22.78,20.1,18087972
2021-01-04,23.85,24.8,23.62,24.62,21.72,41044674
2021-01-05,24.93,24.95,24.09,24.28,21.42,30884831
2021-01-06,24.07,24.57,23.9,24.5,21.62,30367788
2021-01-07,24.54,24.86,24.25,24.77,21.85,18995977
2021-01-08,24.22,24.37,23.58,23.97,21.15,25824793
2021-01-11,23.53,23.78,23.44,23.52,20.75,21596924
2021-01-12,23.59,23.67,23.2,23.54,20.77,22550305
2021-01-13,23.6,23.9,23.49,23.6,20.82,17298520
2021-01-14,23.57,23.91,23.54,23.68,20.89,15120868
2021-01-15,23.58,23.73,23.11,23.14,20.42,16309941
2021-01-19,23.33,23.48,23.11,23.39,20.64,16575440
2021-01-20,23.73,23.96,23.58,23.83,21.02,17136415
2021-01-21,23.84,23.87,23.41,23.68,20.89,14083571
2021-01-22,23.18,23.7,22.92,23.47,20.71,13121401
2021-01-25,23.6,23.76,23.21,23.44,20.68,15448582
2021-01-26,23.44,23.56,23.24,23.28,20.54,11643775
2021-01-27,23.09,23.11,21.88,21.99,19.4,32615289
2021-01-28,22.44,22.55,22.09,22.36,19.73,23204375
2021-01-29,22.9,23.08,22.25,22.37,19.74,25413930
2021-02-01,22.93,22.97,22.14,22.54,19.89,25095512
2021-02-02,22.14,22.52,21.94,22.34,19.71,15373548
2021-02-03,22.32,22.48,22.18,22.34,19.71,11032205
2021-02-04,21.91,22.05,21.48,21.99,19.4,17676678
2021-02-05,22.1,22.38,21.86,22.33,19.7,17395809
2021-02-08,22.63,22.68,22.39,22.46,19.82,11633925
2021-02-09,22.52,22.54,22.27,22.43,19.79,12879102
2021-02-10,22.58,22.7,22.33,22.51,19.86,11056672
2021-02-11,22.55,22.57,22.12,22.19,19.58,12689483
2021-02-12,22.07,22.29,21.71,22.15,19.54,14572982
2021-02-16,21.99,22.11,21.65,21.7,19.15,18692728
2021-02-17,21.31,21.31,20.6,20.83,18.38,36717316
2021-02-18,20.87,20.99,20.22,20.32,17.93,29436471
2021-02-19,20.36,20.43,19.69,19.78,17.45,38062316
2021-02-22,20.0,20.6,19.86,20.53,18.11,28933865
2021-02-23,20.52,20.57,19.79,20.16,17.79,22904366
2021-02-24,19.97,20.22,19.73,20.1,17.73,17803364
2021-02-25,19.85,20.2,19.36,19.45,17.16,25862381
2021-02-26,19.23,19.29,18.64,18.67,16.55,32845991
2021-03-01,19.0,19.25,18.8,18.97,16.81,24088810
2021-03-02,19.19,19.98,19.15,19.86,17.6,25720894
2021-03-03,19.41,19.57,19.01,19.5,17.28,21362606
2021-03-04,19.5,20.0,19.28,19.54,17.32,28469246
2021-03-05,19.61,19.87,19.21,19.84,17.59,20863126
