date,open,high,low,close,volume,vwap,transactions
2023-08-07 04:00:00,16.46,16.59,16.37,16.5,10100663.0,16.4877,48880
2023-08-08 04:00:00,16.24,16.48,15.97,16.45,12100410.0,16.3354,50767
2023-08-09 04:00:00,16.56,16.59,16.355,16.48,11483252.0,16.4682,40263
2023-08-10 04:00:00,16.61,16.85,16.51,16.66,11986226.0,16.6761,54068
2023-08-11 04:00:00,16.59,16.91,16.561,16.91,9267254.0,16.8142,43602
2023-08-14 04:00:00,16.72,16.78,16.56,16.67,11074745.0,16.6502,43193
2023-08-15 04:00:00,16.58,16.615,15.95,16.02,18152431.0,16.1534,63195
2023-08-16 04:00:00,16.06,16.08,15.74,15.77,14079117.0,15.8619,57059
2023-08-17 04:00:00,15.83,15.88,15.5,15.66,12987270.0,15.6443,50033
2023-08-18 04:00:00,15.58,15.655,15.48,15.61,13554003.0,15.5577,50047
2023-08-21 04:00:00,15.68,15.74,15.47,15.71,12109529.0,15.6185,43781
2023-08-22 04:00:00,15.74,15.87,15.58,15.84,12760473.0,15.7487,36713
2023-08-23 04:00:00,16.0,16.32,15.96,16.11,21154740.0,16.1738,58561
2023-08-24 04:00:00,16.0,16.088,15.78,15.97,11479086.0,15.946,45289
2023-08-25 04:00:00,15.96,16.03,15.58,15.91,16434504.0,15.813,51692
2023-08-28 04:00:00,15.97,16.22,15.925,16.19,11017198.0,16.1111,38562
2023-08-29 04:00:00,16.145,16.445,16.11,16.34,15065715.0,16.3152,47512
2023-08-30 04:00:00,16.41,16.51,16.25,16.35,10311506.0,16.3484,36086
2023-08-31 04:00:00,16.32,16.38,16.11,16.21,7636373.0,16.2361,29498
2023-09-01 04:00:00,16.42,16.45,16.105,16.12,12044424.0,16.2387,41636
2023-09-05 04:00:00,16.01,16.1499,15.85,15.92,10493708.0,15.9675,41765
2023-09-06 04:00:00,15.84,16.01,15.75,15.84,9257298.0,15.8237,38718
2023-09-07 04:00:00,15.79,15.85,15.73,15.79,8660358.0,15.7847,31835
2023-09-08 04:00:00,15.82,16.0,15.75,15.78,8266632.0,15.8228,29333
2023-09-11 04:00:00,15.97,16.09,15.87,16.07,8486199.0,16.0095,33476
2023-09-12 04:00:00,15.91,16.19,15.9,16.05,7472964.0,16.0819,33046
2023-09-13 04:00:00,16.05,16.14,15.96,16.12,9928284.0,16.0589,36478
2023-09-14 04:00:00,16.19,16.43,16.14,16.33,12856142.0,16.3315,44770
2023-09-15 04:00:00,16.4,16.69,16.38,16.64,17895088.0,16.6188,48468
2023-09-18 04:00:00,16.71,16.79,16.565,16.68,9470138.0,16.6834,35127
2023-09-19 04:00:00,16.72,16.75,16.19,16.33,14978300.0,16.3462,48053
2023-09-20 04:00:00,16.38,16.81,16.37,16.42,21466012.0,16.5878,64746
2023-09-21 04:00:00,16.1,16.215,15.96,16.03,11587811.0,16.0839,51056
2023-09-22 04:00:00,16.17,16.22,15.785,15.79,13951223.0,15.9698,53655
2023-09-25 04:00:00,15.75,15.8,15.47,15.55,13205270.0,15.6053,51712
2023-09-26 04:00:00,15.46,15.515,15.18,15.21,14763949.0,15.3052,57816
2023-09-27 04:00:00,15.13,15.16,14.51,14.64,30042499.0,14.7132,88165
2023-09-28 04:00:00,14.72,14.77,14.47,14.56,21782145.0,14.5484,64783
2023-09-29 04:00:00,14.85,14.85,14.4023,14.55,16354756.0,14.5364,60566
2023-10-02 04:00:00,14.35,14.38,14.03,14.23,16560645.0,14.1696,62352
2023-10-03 04:00:00,14.24,14.475,14.16,14.19,19262718.0,14.3032,70424
2023-10-04 04:00:00,14.18,14.235,13.82,14.2,23541939.0,14.0497,73181
2023-10-05 04:00:00,14.23,14.4,14.11,14.37,16775142.0,14.2833,45871
2023-10-06 04:00:00,14.44,14.69,14.3896,14.58,18825586.0,14.5749,63298
2023-10-09 04:00:00,14.88,15.02,14.78,14.85,16477728.0,14.8894,53712
2023-10-10 04:00:00,14.91,14.98,14.81,14.96,16698263.0,14.8969,53933
2023-10-11 04:00:00,15.15,15.22,15.02,15.22,15916483.0,15.1123,58677
2023-10-12 04:00:00,15.04,15.19,15.02,15.14,20656334.0,15.1086,67746
2023-10-13 04:00:00,15.58,15.85,15.4242,15.74,20464553.0,15.6991,66147
2023-10-16 04:00:00,15.66,15.93,15.6,15.81,10680858.0,15.7959,42181
2023-10-17 04:00:00,15.82,16.425,15.77,16.42,18571621.0,16.2392,55171
2023-10-18 04:00:00,16.57,16.735,16.4,16.54,21635497.0,16.5555,72744
2023-10-19 04:00:00,16.47,16.63,16.27,16.61,19181708.0,16.5026,59634
2023-10-20 04:00:00,16.69,17.14,16.68,16.89,30150174.0,16.9651,105820
2023-10-23 04:00:00,16.72,16.855,16.39,16.55,19608945.0,16.616,49711
2023-10-24 04:00:00,16.34,16.59,16.27,16.56,12439832.0,16.487,43426
2023-10-25 04:00:00,16.52,16.87,16.51,16.58,20366260.0,16.7187,76070
2023-10-26 04:00:00,16.55,16.57,16.1,16.3,23166404.0,16.3237,78631
2023-10-27 04:00:00,16.23,16.42,15.84,16.33,25548548.0,16.1395,72045
2023-10-30 04:00:00,16.3,16.365,16.08,16.11,17416268.0,16.2048,55452
2023-10-31 04:00:00,16.08,16.275,15.86,15.98,17720934.0,16.0382,53512
2023-11-01 04:00:00,16.0,16.07,15.82,16.03,17331473.0,15.9632,57228
2023-11-02 04:00:00,16.2,16.23,15.91,16.05,22598165.0,16.0634,66281
2023-11-03 04:00:00,16.2,16.57,16.12,16.48,28433570.0,16.4141,89692
2023-11-06 05:00:00,16.33,16.53,16.225,16.29,15218060.0,16.3742,49667
2023-11-07 05:00:00,16.025,16.11,15.57,15.76,19613633.0,15.7395,68067
2023-11-08 05:00:00,15.63,15.71,15.08,15.17,14699531.0,15.294,53028
2023-11-09 05:00:00,15.25,15.56,15.11,15.3,11114468.0,15.3932,40576
2023-11-10 05:00:00,15.16,15.23,15.01,15.22,12128662.0,15.132,45886
2023-11-13 05:00:00,15.23,15.34,15.11,15.13,12043838.0,15.2197,41929
2023-11-14 05:00:00,15.5,15.8,15.4,15.71,15685064.0,15.6787,49100
2023-11-15 05:00:00,15.65,15.76,15.5,15.61,11303700.0,15.6161,38229
2023-11-16 05:00:00,15.71,16.09,15.69,15.88,14929250.0,15.8939,46919
2023-11-17 05:00:00,16.08,16.08,15.69,15.71,9308374.0,15.7895,34584
2023-11-20 05:00:00,15.59,15.859,15.4714,15.79,9156615.0,15.7522,36108
2023-11-21 05:00:00,16.05,16.38,16.05,16.19,19230157.0,16.2364,50356
2023-11-22 05:00:00,16.22,16.3,16.08,16.24,12855932.0,16.1855,42379
2023-11-24 05:00:00,16.28,16.34,16.1103,16.23,7111656.0,16.2196,25068
2023-11-27 05:00:00,16.51,16.69,16.33,16.57,18428254.0,16.5354,58263
2023-11-28 05:00:00,16.67,17.47,16.6,17.44,32256306.0,17.2301,101469
2023-11-29 05:00:00,17.31,17.5,17.23,17.39,17301044.0,17.3699,58334
2023-11-30 05:00:00,17.3,17.61,17.25,17.59,19571691.0,17.4687,57356
2023-12-01 05:00:00,17.56,17.79,17.51,17.73,23008005.0,17.6761,70037
2023-12-04 05:00:00,17.6,17.65,17.365,17.53,20875479.0,17.5072,62673
2023-12-05 05:00:00,17.41,17.52,17.23,17.42,16180465.0,17.4078,48798
2023-12-06 05:00:00,17.51,17.64,17.34,17.36,12845084.0,17.4524,40045
2023-12-07 05:00:00,17.42,17.46,17.11,17.22,14132090.0,17.2391,37772
2023-12-08 05:00:00,16.87,17.03,16.67,16.79,18257387.0,16.8269,55639
2023-12-11 05:00:00,16.6,16.71,16.4299,16.67,13620650.0,16.5909,44973
2023-12-12 05:00:00,16.71,16.72,16.26,16.34,13450925.0,16.3655,42693
2023-12-13 05:00:00,16.31,17.43,16.26,17.43,21027447.0,16.9181,60120
2023-12-14 05:00:00,17.59,17.9636,17.565,17.65,20143844.0,17.7337,73940
2023-12-15 05:00:00,17.58,17.65,17.41,17.51,19955283.0,17.5489,53394
2023-12-18 05:00:00,17.58,17.7499,17.45,17.73,14976220.0,17.6453,44342
2023-12-19 05:00:00,17.74,18.24,17.73,18.09,17240605.0,18.0901,53109
2023-12-20 05:00:00,18.11,18.13,17.75,17.77,15083687.0,17.9927,47266
2023-12-21 05:00:00,18.09,18.165,17.89,17.97,15472589.0,17.9929,42152
2023-12-22 05:00:00,18.3,18.55,18.16,18.16,21278581.0,18.3068,55016
2023-12-26 05:00:00,18.31,18.3194,18.07,18.17,6466234.0,18.1554,24458
2023-12-27 05:00:00,18.23,18.54,18.23,18.47,12680993.0,18.4448,42514
2023-12-28 05:00:00,18.36,18.42,18.08,18.09,12089362.0,18.2098,45135
2023-12-29 05:00:00,18.02,18.1,17.83,18.09,11958530.0,18.0324,42782
2024-01-02 05:00:00,18.02,18.23,17.82,17.88,13275373.0,17.9526,48353
2024-01-03 05:00:00,17.46,17.82,17.07,17.33,24485479.0,17.3665,89952
2024-01-04 05:00:00,17.38,17.4663,17.05,17.35,20467249.0,17.3568,52697
2024-01-05 05:00:00,17.44,17.72,17.265,17.49,16573204.0,17.4688,53816
2024-01-08 05:00:00,17.39,17.92,17.31,17.69,18051874.0,17.7258,58589
2024-01-09 05:00:00,17.69,17.7,17.37,17.4,14814112.0,17.4642,47877
2024-01-10 05:00:00,17.44,17.52,17.2,17.34,13048899.0,17.3317,40640
2024-01-11 05:00:00,17.38,17.49,16.94,17.15,14181442.0,17.1218,48713
2024-01-12 05:00:00,17.58,17.82,17.5,17.64,16466518.0,17.6163,49482
2024-01-16 05:00:00,17.28,17.31,15.95,15.96,36002386.0,16.3532,112464
2024-01-17 05:00:00,15.615,15.68,15.42,15.56,26323913.0,15.5322,79911
2024-01-18 05:00:00,15.58,15.6,15.33,15.53,17680165.0,15.4637,58712
2024-01-19 05:00:00,15.62,15.67,15.45,15.61,14500793.0,15.5849,43477
2024-01-22 05:00:00,15.42,15.65,15.33,15.59,13851740.0,15.5526,42120
2024-01-23 05:00:00,15.78,16.07,15.72,15.99,18271102.0,15.908,53656
2024-01-24 05:00:00,16.26,16.36,15.53,15.53,22914589.0,15.6756,73759
2024-01-25 05:00:00,15.74,15.74,15.54,15.59,17401914.0,15.5792,56192
2024-01-26 05:00:00,15.67,15.8403,15.52,15.53,16141997.0,15.6087,49913
2024-01-29 05:00:00,15.69,15.74,15.46,15.7,17398889.0,15.6042,55607
2024-01-30 05:00:00,15.81,15.91,15.56,15.68,13835979.0,15.6987,48562
